,Unnamed: 0,x,y,severity,description,label,normalized_body,normalized_body_tokens
0,0,33.544643,-16.528986,2.1,"In engineSetMode of BaseBlockCipher.java, there is a possible incorrect cryptographic algorithm chosen due to an incomplete comparison. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.Product: AndroidVersions: Android-10Android ID: A-148517383",0,enginesetmode baseblockcipherjava possible incorrect cryptographic algorithm chosen due incomplete comparison could lead local information disclosure additional execution privileges needed user interaction needed exploitationproduct androidversions androidandroid id,"['enginesetmode', 'baseblockcipherjava', 'possible', 'incorrect', 'cryptographic', 'algorithm', 'chosen', 'due', 'incomplete', 'comparison', 'could', 'lead', 'local', 'information', 'disclosure', 'additional', 'execution', 'privileges', 'needed', 'user', 'interaction', 'needed', 'exploitationproduct', 'androidversions', 'androidandroid', 'id']"
1,1,33.116245,-2.6582296,6.5,"A flaw was found in Keycloak before version 11.0.0, where the code base contains usages of ObjectInputStream without type checks. This flaw allows an attacker to inject arbitrarily serialized Java Objects, which would then get deserialized in a privileged context and potentially lead to remote code execution.",1,version code base contains usages objectinputstream without type checks allows attacker inject arbitrarily serialized java objects would get deserialized privileged context potentially lead remote code execution,"['version', 'code', 'base', 'contains', 'usages', 'objectinputstream', 'without', 'type', 'checks', 'allows', 'attacker', 'inject', 'arbitrarily', 'serialized', 'java', 'objects', 'would', 'get', 'deserialized', 'privileged', 'context', 'potentially', 'lead', 'remote', 'code', 'execution']"
2,2,12.650582,21.060308,5.0,"A flaw was found in FasterXML Jackson Databind, where it did not have entity expansion secured properly. This flaw allows vulnerability to XML external entity (XXE) attacks. The highest threat from this vulnerability is data integrity.",2,fasterxml jackson databind entity expansion secured properly allows vulnerability xml external entity xxe attacks highest threat vulnerability data integrity,"['fasterxml', 'jackson', 'databind', 'entity', 'expansion', 'secured', 'properly', 'allows', 'vulnerability', 'xml', 'external', 'entity', 'xxe', 'attacks', 'highest', 'threat', 'vulnerability', 'data', 'integrity']"
3,3,15.401218,23.488605,5.0,jackson-databind before 2.13.0 allows a Java StackOverflow exception and denial of service via a large depth of nested objects.,2,jacksondatabind allows java stackoverflow exception denial service via large depth nested objects,"['jacksondatabind', 'allows', 'java', 'stackoverflow', 'exception', 'denial', 'service', 'via', 'large', 'depth', 'nested', 'objects']"
4,4,13.364094,22.588146,7.5,"In FasterXML jackson-databind before 2.14.0-rc1, resource exhaustion can occur because of a lack of a check in primitive value deserializers to avoid deep wrapper array nesting, when the UNWRAP_SINGLE_VALUE_ARRAYS feature is enabled. Additional fix version in 2.13.4.1 and 2.12.17.1",2,fasterxml jacksondatabind rc resource exhaustion occur lack check primitive value deserializers avoid deep wrapper array nesting unwrapsinglevaluearrays feature enabled additional fix version,"['fasterxml', 'jacksondatabind', 'rc', 'resource', 'exhaustion', 'occur', 'lack', 'check', 'primitive', 'value', 'deserializers', 'avoid', 'deep', 'wrapper', 'array', 'nesting', 'unwrapsinglevaluearrays', 'feature', 'enabled', 'additional', 'fix', 'version']"
5,5,13.420559,22.355524,7.5,"In FasterXML jackson-databind before 2.13.4, resource exhaustion can occur because of a lack of a check in BeanDeserializer._deserializeFromArray to prevent use of deeply nested arrays. An application is vulnerable only with certain customized choices for deserialization.",2,fasterxml jacksondatabind resource exhaustion occur lack check beandeserializerdeserializefromarray prevent use deeply nested arrays application certain customized choices deserialization,"['fasterxml', 'jacksondatabind', 'resource', 'exhaustion', 'occur', 'lack', 'check', 'beandeserializerdeserializefromarray', 'prevent', 'use', 'deeply', 'nested', 'arrays', 'application', 'certain', 'customized', 'choices', 'deserialization']"
6,6,15.147787,23.238285,7.5,jackson-databind 2.10.x through 2.12.x before 2.12.6 and 2.13.x before 2.13.1 allows attackers to cause a denial of service (2 GB transient heap usage per read) in uncommon situations involving JsonNode JDK serialization.,2,jacksondatabind allows attackers cause denial service gb transient heap usage per read uncommon situations involving jsonnode jdk serialization,"['jacksondatabind', 'allows', 'attackers', 'cause', 'denial', 'service', 'gb', 'transient', 'heap', 'usage', 'per', 'read', 'uncommon', 'situations', 'involving', 'jsonnode', 'jdk', 'serialization']"
7,7,-5.445634,-1.6145595,5.0,"A flaw was found in all resteasy 3.x.x versions prior to 3.12.0.Final and all resteasy 4.x.x versions prior to 4.6.0.Final, where an improper input validation results in returning an illegal header that integrates into the server's response. This flaw may result in an injection, which leads to unexpected behavior when the HTTP response is constructed.",3,resteasy xx versions prior final resteasy xx versions prior final improper input validation results returning illegal header integrates servers response may result injection leads unexpected behavior http response constructed,"['resteasy', 'xx', 'versions', 'prior', 'final', 'resteasy', 'xx', 'versions', 'prior', 'final', 'improper', 'input', 'validation', 'results', 'returning', 'illegal', 'header', 'integrates', 'servers', 'response', 'may', 'result', 'injection', 'leads', 'unexpected', 'behavior', 'http', 'response', 'constructed']"
8,8,-4.425417,-0.92266846,5.0,A flaw was found in RESTEasy in all versions of RESTEasy up to 4.6.0.Final. The endpoint class and method names are returned as part of the exception response when RESTEasy cannot convert one of the request URI path or query values to the matching JAX-RS resource method's parameter value. The highest threat from this vulnerability is to data confidentiality.,3,resteasy versions resteasy final endpoint class method names returned part exception response resteasy convert one request uri path query values matching jaxrs resource methods parameter value highest threat vulnerability data confidentiality,"['resteasy', 'versions', 'resteasy', 'final', 'endpoint', 'class', 'method', 'names', 'returned', 'part', 'exception', 'response', 'resteasy', 'convert', 'one', 'request', 'uri', 'path', 'query', 'values', 'matching', 'jaxrs', 'resource', 'methods', 'parameter', 'value', 'highest', 'threat', 'vulnerability', 'data', 'confidentiality']"
9,9,25.262789,39.009758,5.8,"In Apache Commons IO before 2.7, When invoking the method FileNameUtils.normalize with an improper input string, like ""//../foo"", or ""\\..\foo"", the result would be the same value, thus possibly providing access to files in the parent directory, but not further above (thus ""limited"" path traversal), if the calling code would use the result to construct a path value.",4,apache commons io invoking method filenameutilsnormalize improper input string like foo foo result would value thus possibly providing access files parent directory thus limited path traversal calling code would use result construct path value,"['apache', 'commons', 'io', 'invoking', 'method', 'filenameutilsnormalize', 'improper', 'input', 'string', 'like', 'foo', 'foo', 'result', 'would', 'value', 'thus', 'possibly', 'providing', 'access', 'files', 'parent', 'directory', 'thus', 'limited', 'path', 'traversal', 'calling', 'code', 'would', 'use', 'result', 'construct', 'path', 'value']"
